Attendance Area,School,Count
Daniel Bagley,Cascadia,23
Daniel Bagley,John Stanford Intl,16
Daniel Bagley,McDonald Intl,15
Daniel Bagley,Greenwood,7
Daniel Bagley,Salmon Bay K-8,7
Daniel Bagley,Thornton Creek,7
Daniel Bagley,Queen Anne,6
Daniel Bagley,Hazel Wolf K-8,4
Daniel Bagley,Licton Springs K-8,4
Daniel Bagley,Olympic Hills,3
Daniel Bagley,TOPS K-8,3
Daniel Bagley,B.F. Day,1
Daniel Bagley,Cascade Parent Partnership,1
Daniel Bagley,Coe,1
Daniel Bagley,Laurelhurst,1
Daniel Bagley,Loyal Heights,1
Daniel Bagley,Olympic View,1
